Public_Food_Key,Food_Survey_ID,Food_Name,"Energy, with dietary fibre","Energy, without dietary fibre",Moisture (water),Protein,Total_Fat,Alcohol,Total sugars,Added sugars,Calcium (Ca),Sodium (Na),Vitamin C,Vitamin E
F008155,20601,"Sausage, vegetarian style, unfortified, raw",807,795,60.5,19,9.4,0,1.9,0.8,34,600,5,1
F008151,20601,"Sausage, vegetarian style, added Fe, Zn and vitamin B12, raw",807,795,60.5,19,9.4,0,1.9,0.8,34,600,5,1
F008153,20601,"Sausage, vegetarian style, fried, no added fat",849,837,58.4,20,9.9,0,2,0.8,36,632,5,0.84
F009739,20502,"Yoghurt, soy based, vanilla flavoured, reduced fat (1% fat)",309,307,80.7,3.7,0.8,0,8.4,7.8,120,55,0,0.05
F001973,14101,"Butter, plain, salted",3027,3027,15.3,1.1,81.3,0,0,0,17,776,0,1.96
F001971,14101,"Butter, plain, no added salt",3027,3027,15.3,1.1,81.3,0,0,0,17,10,0,1.96
F005370,14301,"Margarine spread, polyunsaturated (70% fat)",2552,2552,30,0,69,0,0,0,7,562,0,34.68
F005373,14301,"Margarine spread, polyunsaturated (70% fat), reduced salt (sodium 280 mg/100 g)",2636,2636,27.4,1,70.8,0,0,0,3,283,0,8.19
F005319,14306,"Margarine spread, monounsaturated (70% fat), reduced salt (sodium 350 mg/100 g), added phytosterols",2820,2820,22.5,0.7,75.9,0,0,0,3,356,0,3.06
F003729,17101,"Egg, chicken, whole, raw",533,533,76.1,12.6,8.5,0,0.3,0,47,150,0,1.71
F003721,17101,"Egg, chicken, whole, hard-boiled",574,574,75,12.4,9.5,0,0.3,0,39,127,0,8.96
F003725,17101,"Egg, chicken, whole, poached",556,556,75.1,13.1,8.9,0,0.3,0,49,156,0,1.6
F003718,17101,"Egg, chicken, whole, fried, no fat added",606,606,72.8,14.3,9.7,0,0.3,0,53,170,0,1.75
F003724,17102,"Egg, chicken, whole, omega-3 polyunsaturate enriched, raw",557,557,75.5,12.4,9.2,0,0.3,0,45,120,0,14
F003723,17102,"Egg, chicken, whole, omega-3 polyunsaturate enriched, boiled",568,568,75,12.7,9.4,0,0.3,0,46,122,0,12.86
F000086,16101,"Apple, bonza, unpeeled, raw",244,218,85.3,0.3,0.3,0,11.5,0,6,0,2,0.26
F000091,16101,"Apple, fuji, unpeeled, raw",245,226,84.1,0.3,0.3,0,12.1,0,6,2,5,0.36
F000092,16101,"Apple, golden delicious, unpeeled, raw",202,182,84.9,0.3,0,0,10.5,0,4,2,5,1.3
F000095,16101,"Apple, granny-smith, unpeeled, raw",202,184,85.2,0.3,0,0,10.3,0,5,1,5,0.22
F000099,16101,"Apple, jonathon, unpeeled, raw",226,208,84,0.3,0,0,11.8,0,4,1,5,0.22
F000105,16101,"Apple, pink lady, unpeeled, raw",243,219,84,0.2,0,0,12.2,0,4,1,9,0
F000107,16101,"Apple, red delicious, unpeeled, raw",248,230,84.5,0.3,0,0,13,0,5,1,6,0.22
F000111,16101,"Apple, royal gala, unpeeled, raw",222,205,86.7,0.4,0,0,11.1,0,5,1,2,0.05
F000110,16101,"Apple, red skin, unpeeled, raw",240,218,84.5,0.3,0,0,12,0,5,1,7,0.08
F000134,16403,"Apricot, raw",171,151,85.4,0.8,0.1,0,6.6,0,16,2,12,1.16
F000262,16501,"Banana, cavendish, peeled, raw",394,366,76.2,1.4,0.3,0,12.8,0,5,0,4,0.12
F000267,16501,"Banana, lady finger or sugar, peeled, raw",474,445,68.8,1.5,0.1,0,18.2,0,10,2,19,0.1
F003423,16504,"Custard apple, African pride, peeled, raw",326,306,78.7,1.4,0.6,0,14.7,0,17,4,43,0.3
F003496,16802,"Date, dried",1212,1135,16,2,0.2,0,65.9,0,47,14,5,0.05
F003818,16504,"Feijoa, raw",176,152,85.4,0.6,0.4,0,7.7,0,6,3,30,0.18
F003832,16802,"Fig, dried",1082,968,21.3,3.6,0.7,0,52.6,0,200,39,0,0.35
F003834,16503,"Fig, fresh, unpeeled, raw",195,169,85.9,1.4,0.3,0,8.1,0,38,3,3,0.11
F004262,16303,"Grapefruit, peeled, raw",125,111,89,0.9,0.2,0,4.8,0,21,4,36,0.15
F004286,16504,"Guava, Hawaiian, raw",144,101,87.2,0.7,0.5,0,3.4,0,10,4,243,0.73
F004594,16504,"Jackfruit, peeled, raw",347,323,75.4,2.2,0.3,0,16.3,0,18,3,6,0.34
F004816,16601,"Kiwifruit, green (hayward), peeled, raw",230,206,83.8,1.2,0.7,0,8.8,0,28,2,85,1.08
F004815,16601,"Kiwifruit, gold, peeled, raw",244,230,82.6,1.2,0.5,0,10.9,0,18,3,110,0.98
F005174,16302,"Lemon, peeled, raw",115,95,89,0.6,0.2,0,1.8,0,20,2,48,0.15
F005199,16302,"Lime, peeled, raw",122,89,87.6,0.8,0.2,0,1.2,0,22,3,47,0.22
F005244,16105,"Loquat, peeled, raw",122,108,90.6,1,0.2,0,4.9,0,13,2,4,0.1
F005255,16504,"Lychee, peeled, raw",296,286,80.6,1.1,0.1,0,16.2,0,2,1,49,0.07
F005293,16303,"Mandarin, peeled, raw",195,182,86,0.9,0,0,9.8,0,29,3,28,0.1
F005299,16504,"Mango, peeled, raw",237,227,84.1,0.4,0,0,12.9,0,9,0,24,0.85
F006021,16401,"Nectarine, yellow, unpeeled, raw",181,164,87.2,1.2,0.1,0,8,0,9,0,12,0.8
F006277,16301,"Orange, peeled, raw",175,155,86.7,1,0,0,8.2,0,23,0,52,0.1
F006276,16301,"Orange, navel, peeled, raw",174,155,86.4,1,0,0,8.2,0,23,0,52,0.1
F006279,16301,"Orange, valencia, peeled, raw",175,156,87.6,1,0,0,8.2,0,23,0,52,0.1
F006333,16504,"Passionfruit, raw",304,193,74.4,3,0.3,0,5.7,0,10,19,18,0.02
F006573,16401,"Peach, yellow, unpeeled, raw",168,152,87.4,0.8,0.1,0,7.4,0,5,2,8,0.7
F006604,16103,"Pear, nashi, unpeeled, raw",209,192,86.7,0.4,0.1,0,10.6,0,5,7,2,0
F006628,16503,"Persimmon, peeled, raw",298,278,79.7,0.6,0.2,0,16.1,0,29,6,14,0.73
F006708,16505,"Pineapple, canned in pineapple juice, drained",206,191,85,0.5,0.1,0,10.5,0,6,4,12,0.02
F006832,16403,"Plum, unpeeled, raw",162,146,87.8,0.6,0.1,0,6.5,0,7,2,5,0.82
F006826,16404,"Plum, dark, canned in syrup, drained",385,369,74.6,0.4,0.1,0,21,15.5,4,4,0,1.46
F006842,16504,"Pomegranate, peeled, raw",329,278,76.2,1.9,0.2,0,13.5,0,14,4,14,0.6
F007457,16504,"Prickly pear, peeled, raw",204,167,83.9,0.4,0.3,0,8.8,0,48,1,18,0.54
F007494,16802,Prune (dried plum),841,778,37.1,2.3,0.4,0,31,0,52,7,2,0.43
F007591,16105,"Quince, peeled, raw",242,200,81.6,0.5,0.2,0,11,0,8,16,39,0.2
F007610,16801,Raisin,1210,1188,21,3.3,0.5,0,66.9,0,53,10,0,0.12
F007612,16504,"Rambutan, raw",312,289,79.5,1,0.4,0,15.7,0,8,2,70,0.54
F008952,16201,"Strawberry, raw",109,89,92.1,0.7,0.2,0,3.8,0,22,0,45,0.32
F008983,16801,Sultana,1068,1042,16.4,2.6,0.3,0,59,0,52,7,0,0.16
F009080,16503,"Tamarillo, peeled, raw",150,112,86.2,2,0.1,0,3.4,0,8,1,15,1.92
F009087,16303,"Tangelo, peeled, raw",172,156,85.9,0.6,0.1,0,7.8,0,22,4,28,0.1
F009088,16303,"Tangerine or tangor, peeled, raw",180,168,86.2,1,0.2,0,8.1,0,26,2,44,0.36
F006830,16804,"Plum, salted",857,782,17.9,3.7,0,0,33.6,7,130,8400,0,1.26
F002755,18903,"Chicken, nugget, purchased frozen, baked, no added fat",1172,1163,47.5,12.8,17.6,0,0.8,0.6,13,920,0,0.4
F002752,18903,"Chicken, nugget, purchased from independent takeaway & fast food chain, fried, undefined oil",1104,1095,48.4,13.1,15.8,0,0,0,13,740,0,0.82
F002752,18903,"Chicken, nugget, purchased from independent takeaway & fast food chain, fried, undefined oil",1104,1095,48.4,13.1,15.8,0,0,0,13,740,0,0.82
F002751,18903,"Chicken, nugget, purchased from fast food chain, grilled",818,808,54.8,14.8,5.9,0,0.9,0.7,13,435,0,0.4
F000228,18601,"Bacon, middle rasher, untrimmed, raw",1310,1310,51.1,15.4,28.2,0,0.3,0.3,5,1274,0,0.27
F000227,18601,"Bacon, middle rasher, untrimmed, fried, no added fat",1747,1747,34.8,20.6,37.6,0,0.3,0.4,5,1528,0,0.29
F000231,18601,"Bacon, shortcut, as purchased without rind, fried, no added fat",1046,1046,47.9,30.4,13.9,0,0.9,0,8,2000,0,0.08
F001322,18606,"Braised steak & onions, canned",264,257,82.3,7.2,1.6,0,1,0,12,380,0,0
F004025,18502,"Frankfurt, cooked",1051,1037,58.7,14.3,19.9,0,0.2,0,33,770,1,0.25
F004025,18502,"Frankfurt, cooked",1051,1037,58.7,14.3,19.9,0,0.2,0,33,770,1,0.25
F004299,18602,"Ham, leg, lean",467,453,73,17,2.5,0,0.9,0.9,9,1250,0,0.05
F006675,13405,"Pie, steak & kidney, canned",693,686,65.6,10,7.7,0,0.6,0.1,7,230,0,0
